Day Index,1 Day Active Users
5/1/21,"1,331"
5/2/21,"1,429"
5/3/21,"2,194"
5/4/21,"2,399"
5/5/21,"2,444"
5/6/21,"2,451"
5/7/21,"2,127"
5/8/21,"1,370"
5/9/21,"1,412"
5/10/21,"2,484"
5/11/21,"2,545"
5/12/21,"2,458"
5/13/21,"2,144"
5/14/21,"1,987"
5/15/21,"1,401"
5/16/21,"1,599"
5/17/21,"2,314"
5/18/21,"2,530"
5/19/21,"2,372"
5/20/21,"2,534"
5/21/21,"2,146"
5/22/21,"1,315"
5/23/21,"1,454"
5/24/21,"2,178"
5/25/21,"2,566"
5/26/21,"2,478"
5/27/21,"2,359"
5/28/21,"1,613"
5/29/21,"1,319"
5/30/21,"1,363"
5/31/21,"1,622"
6/1/21,"2,400"
6/2/21,"2,299"
6/3/21,"2,566"
6/4/21,"2,139"
6/5/21,"1,414"
6/6/21,"1,527"
6/7/21,"2,351"
6/8/21,"2,545"
6/9/21,"2,298"
6/10/21,"2,296"
6/11/21,"1,981"
6/12/21,"1,346"
6/13/21,"1,489"
6/14/21,"2,231"
6/15/21,"2,446"
6/16/21,"2,358"
6/17/21,"2,475"
6/18/21,"1,855"
6/19/21,"1,321"
6/20/21,"1,489"
6/21/21,"2,282"
6/22/21,"2,280"
6/23/21,"2,289"
6/24/21,"2,147"
6/25/21,"1,887"
6/26/21,"1,305"
6/27/21,"1,371"
6/28/21,"2,314"
6/29/21,"2,557"
6/30/21,"2,177"
7/1/21,"2,047"
7/2/21,"1,835"
7/3/21,"1,144"
7/4/21,"1,367"
7/5/21,"1,627"
7/6/21,"1,800"
7/7/21,"2,118"
7/8/21,"2,662"
7/9/21,"2,002"
7/10/21,"1,294"
7/11/21,"1,341"
7/12/21,"2,179"
7/13/21,"2,309"
7/14/21,"2,332"
7/15/21,"3,360"
7/16/21,"2,475"
7/17/21,"1,414"
7/18/21,"1,503"
7/19/21,"4,094"
7/20/21,"3,291"
7/21/21,"3,127"
7/22/21,"3,229"
7/23/21,"2,008"
7/24/21,"1,343"
7/25/21,"1,384"
7/26/21,"2,915"
7/27/21,"2,390"
7/28/21,"2,372"
7/29/21,"2,315"
7/30/21,"1,822"
7/31/21,"1,131"
8/1/21,"1,420"
8/2/21,"2,505"
8/3/21,"2,545"
8/4/21,"2,518"
8/5/21,"2,502"
8/6/21,"2,066"
8/7/21,"1,284"
8/8/21,"1,409"
8/9/21,"2,309"
8/10/21,"2,242"
8/11/21,"2,099"
8/12/21,"2,110"
8/13/21,"1,808"
8/14/21,"1,212"
8/15/21,"1,393"
8/16/21,"2,001"
8/17/21,"2,173"
8/18/21,"2,233"
8/19/21,"2,479"
8/20/21,"1,981"
8/21/21,"1,322"
8/22/21,"1,396"
8/23/21,"2,147"
8/24/21,"2,286"
8/25/21,"2,570"
8/26/21,"2,472"
8/27/21,"2,003"
8/28/21,"1,345"
8/29/21,"1,437"
8/30/21,"2,141"
8/31/21,"2,265"
9/1/21,"2,270"
9/2/21,"2,359"
9/3/21,"1,816"
9/4/21,"1,260"
9/5/21,"1,513"
9/6/21,"1,829"
9/7/21,"2,356"
9/8/21,"2,274"
9/9/21,"2,472"
9/10/21,"2,049"
9/11/21,"1,337"
9/12/21,"1,445"
9/13/21,"2,455"
9/14/21,"2,540"
9/15/21,"2,799"
9/16/21,"2,450"
9/17/21,"2,214"
9/18/21,"1,365"
9/19/21,"1,440"
9/20/21,"2,445"
9/21/21,"2,474"
9/22/21,"2,513"
9/23/21,"2,491"
9/24/21,"2,082"
9/25/21,"1,294"
9/26/21,"1,601"
9/27/21,"3,364"
9/28/21,"2,923"
9/29/21,"2,817"
9/30/21,"2,557"
10/1/21,"2,121"
10/2/21,"1,480"
10/3/21,"1,499"
10/4/21,"2,465"
10/5/21,"2,973"
10/6/21,"2,947"
10/7/21,"2,912"
10/8/21,"2,367"
10/9/21,"1,360"
10/10/21,"1,475"
10/11/21,"2,526"
10/12/21,"2,722"
10/13/21,"2,742"
10/14/21,"2,499"
10/15/21,"2,249"
10/16/21,"1,448"
10/17/21,"1,474"
10/18/21,"2,680"
10/19/21,"3,485"
10/20/21,"3,017"
10/21/21,"2,659"
10/22/21,"1,914"
10/23/21,"1,431"
10/24/21,"1,492"
10/25/21,"2,858"
10/26/21,"3,311"
10/27/21,"2,787"
10/28/21,"2,772"
10/29/21,"2,286"
10/30/21,"1,375"
10/31/21,"1,398"
11/1/21,"2,510"
11/2/21,"2,685"
11/3/21,"3,384"
11/4/21,"3,260"
11/5/21,"2,528"
11/6/21,"1,514"
11/7/21,"1,791"
11/8/21,"2,990"
11/9/21,"2,978"
11/10/21,"2,811"
11/11/21,"2,881"
11/12/21,"2,523"
11/13/21,"1,639"
11/14/21,"1,749"
11/15/21,"2,784"
11/16/21,"2,756"
11/17/21,"2,990"
11/18/21,"2,969"
11/19/21,"2,490"
11/20/21,"1,714"
11/21/21,"1,856"
11/22/21,"3,225"
11/23/21,"2,839"
11/24/21,"2,768"
11/25/21,"2,278"
11/26/21,"2,531"
11/27/21,"1,716"
11/28/21,"1,872"
11/29/21,"3,282"
11/30/21,"3,005"
12/1/21,"2,998"
12/2/21,"2,984"
12/3/21,"8,390"
12/4/21,"4,658"
12/5/21,"3,475"
12/6/21,"4,338"
12/7/21,"4,076"
12/8/21,"3,858"
12/9/21,"3,861"
12/10/21,"3,300"
12/11/21,"1,993"
12/12/21,"2,019"
12/13/21,"3,120"
12/14/21,"3,047"
12/15/21,"2,953"
12/16/21,"3,053"
12/17/21,"2,020"
12/18/21,"1,569"
12/19/21,"1,614"
12/20/21,"2,577"
12/21/21,"2,366"
12/22/21,"2,266"
12/23/21,"1,914"
12/24/21,"1,170"
12/25/21,"1,208"
12/26/21,"1,313"
12/27/21,"1,500"
12/28/21,"1,924"
12/29/21,"1,848"
12/30/21,"1,553"
12/31/21,"1,000"
1/1/22,"1,082"
1/2/22,"1,303"
1/3/22,"1,568"
1/4/22,"2,251"
1/5/22,"2,312"
1/6/22,"2,044"
1/7/22,"1,980"
1/8/22,"1,464"
1/9/22,"1,609"
1/10/22,"2,465"
1/11/22,"2,511"
1/12/22,"2,516"
1/13/22,"2,445"
1/14/22,"2,072"
1/15/22,"1,486"
1/16/22,"1,444"
1/17/22,"1,980"
1/18/22,"2,497"
1/19/22,"2,481"
1/20/22,"2,821"
1/21/22,"2,132"
1/22/22,"1,535"
1/23/22,"1,641"
1/24/22,"2,506"
1/25/22,"2,904"
1/26/22,"2,676"
1/27/22,"2,882"
1/28/22,"2,448"
1/29/22,"1,616"
1/30/22,"1,586"
1/31/22,"2,428"
2/1/22,"2,623"
2/2/22,"2,844"
2/3/22,"2,692"
2/4/22,"2,625"
2/5/22,"1,636"
2/6/22,"1,794"
2/7/22,"2,702"
2/8/22,"2,968"
2/9/22,"3,140"
2/10/22,"2,897"
2/11/22,"2,726"
2/12/22,"1,540"
2/13/22,"1,749"
2/14/22,"2,484"
2/15/22,"2,789"
2/16/22,"3,206"
2/17/22,"2,761"
2/18/22,"2,140"
2/19/22,"1,363"
2/20/22,"1,393"
2/21/22,"1,953"
2/22/22,"2,520"
2/23/22,"2,385"
2/24/22,"2,269"
2/25/22,"2,043"
2/26/22,"1,416"
2/27/22,"1,444"
2/28/22,"2,188"
3/1/22,"2,409"
3/2/22,"2,601"
3/3/22,"2,491"
3/4/22,"2,031"
3/5/22,"1,533"
3/6/22,"1,494"
3/7/22,"2,499"
3/8/22,"2,668"
3/9/22,"2,824"
3/10/22,"2,595"
3/11/22,"1,847"
3/12/22,"1,284"
3/13/22,"1,426"
3/14/22,"2,393"
3/15/22,"2,345"
3/16/22,"2,574"
3/17/22,"2,617"
3/18/22,"2,124"
3/19/22,"1,482"
3/20/22,"1,532"
3/21/22,"2,660"
3/22/22,"2,726"
3/23/22,"2,848"
3/24/22,"3,401"
3/25/22,"2,507"
3/26/22,"1,479"
3/27/22,"1,754"
3/28/22,"2,654"
3/29/22,"2,545"
3/30/22,"2,546"
3/31/22,"2,698"
4/1/22,"2,164"
4/2/22,"1,416"
4/3/22,"1,564"
4/4/22,"2,760"
4/5/22,"2,676"
4/6/22,"6,529"
4/7/22,"4,881"
4/8/22,"3,262"
4/9/22,"2,262"
4/10/22,"2,110"
4/11/22,"3,146"
4/12/22,"3,047"
4/13/22,"2,920"
4/14/22,"2,876"
4/15/22,"2,452"
4/16/22,"1,684"
4/17/22,"1,558"
4/18/22,"2,829"
4/19/22,"3,147"
4/20/22,"3,131"
4/21/22,"3,085"
4/22/22,"2,497"
4/23/22,"1,615"
4/24/22,"1,859"
4/25/22,"3,023"
4/26/22,"3,068"
4/27/22,"3,151"
4/28/22,"3,056"
4/29/22,"2,635"
4/30/22,"1,696"
5/1/22,"1,584"
5/2/22,"2,655"
5/3/22,"2,866"
5/4/22,"2,878"
5/5/22,"3,019"
5/6/22,"3,940"
5/7/22,"3,167"
5/8/22,"1,993"
5/9/22,"2,899"
5/10/22,"3,263"
5/11/22,"3,791"
5/12/22,"3,643"
5/13/22,"3,079"
5/14/22,"2,532"
5/15/22,"2,491"
5/16/22,"2,970"
5/17/22,"2,995"
5/18/22,"2,824"
5/19/22,"3,238"
5/20/22,"2,576"
5/21/22,"1,825"
5/22/22,"1,945"
5/23/22,"2,942"
5/24/22,"3,017"
5/25/22,"3,139"
5/26/22,"3,018"
5/27/22,"2,465"
5/28/22,"1,632"
5/29/22,"1,751"
5/30/22,"2,271"
5/31/22,"2,865"